type,dcs_role,armor_class,life,speed_ms,speed_kmh,attributes,weapons,notes
Vulcan,AAA,1,3,16.67,60.0,AAA;AA_flak;Air Defence;All;Armed Air Defence;Datalink;Ground Units;Ground vehicles;Mobile AAA;NonAndLightArmoredUnits;NonArmoredUnits;Rocket Attack Valid AirDefence;SAM TR;SAM elements;SAM related;Vehicles,M61_20_AP_gr;M61_20_HE_gr,gun-based AA (flak) not missile
Hummer,APC,1,2.5,31.39,113.0,APC;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles;human_vehicle,,
M1043 HMMWV Armament,APC,1,2.5,31.39,113.0,APC;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,M2_12_7_T;M2_12_7,
M1045 HMMWV TOW,APC,1,2.5,31.39,113.0,APC;ATGM;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,TOW2,has ATGM tag - carries TOW in addition to any gun
BRDM-2,APC,1,3,27.78,100.0,APC;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,KPVT_14_5_T;KPVT_14_5;7_62x54;7_62x54_NOTRACER,
Tigr_233036,APC,1,2.5,40.00,144.0,APC;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles;human_vehicle,,
M-113,APC,1,3,16.67,60.0,APC;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,M2_12_7_T;M2_12_7,
BTR-60,APC,1,3,22.00,79.2,APC;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,KPVT_14_5_T;KPVT_14_5;7_62x54;7_62x54_NOTRACER,
BTR-80,APC,1,3,25.00,90.0,APC;All;AntiAir Armed Vehicles;Armed ground units;Armed vehicles;Armored vehicles;Ground Units;Ground Units Non Airdefence;Ground vehicles;Infantry carriers;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,KPVT_14_5_T;KPVT_14_5;7_62x54;7_62x54_NOTRACER,
M-109,Artillery,1,3,15.64,56.3,All;Armed ground units;Armed vehicles;Artillery;Datalink;Ground Units;Ground Units Non Airdefence;Ground vehicles;Indirect fire;LightArmoredUnits;NonAndLightArmoredUnits;Vehicles,M185_155,"DCS-native ""Artillery;Indirect fire"" tags - confirms indirect fire role directly"
